,Email Text,Email Type
12,"A customer service position is available, with a decent weekly salary and the ability to work remotely.


The job will only require 1-2 hours of your time every day, Monday through Friday or on weekends.




The ideal candidate will be dependable, timely, and trustworthy.




POSITION: customer service


SKILLS NEEDED
Ability to work independently
Basic computer knowledge
TO APPLY: Email your name and phone number to [hrd@mantraxservicejobs.sbs]
NOTE: Send the email message from your PERSONAL EMAIL ADDRESS (gmail, yahoo etc) and we will send you the job details.




Message ID-btxadvy17z",Phishing Email
13,"We have a job vacancy and it's a remote job. Flexible hours and awesome pay(700 USD bi-weekly) with an employment letter. NOTE: Interested and serious candidates only should apply here below


Apply here JOB APPLICATION FORM",Phishing Email
14,"We are closing all old versions of our Mailbox as from January 20th Please follow the link below to update your account.
Thank You. Please do not reply to this message. Mail sent to this address cannot be answered.",Phishing Email
15,We are closing all old versions of our Mailbox as of 28th February. Please follow the link below to update your account:,Phishing Email
16,"We are closing all old versions of our Mailbox as from October 24th. Please follow the link below to update your account:
http://update-utoronto.jigsy.com/
Thank You. Please do not reply to this message. Mail sent to this address cannot be answered.",Phishing Email
17,We are closing all old versions of our Mailbox as from November 11th. Please Click the link below to update your account:,Phishing Email
18,"We are closing all old versions of our Mailbox as from November 25th. Please follow the link below to update your account:
https://utorontoteamadmin.jigsy.com/
Thank You. Please do not reply to this message. Mail sent to this address cannot be answered.",Phishing Email
19,"We have an open position for a Virtual Assistant, that is you work remotely, performing various tasks and office support duties.
COVID-19 considerations:
Job is primarily remote at this stage.
Application question
What experience (personal or professional) of yours do you think best matches this position and why?
Work remotely:
Yes
TO APPLY: Email your name and phone number to {hrd@mantraxservicejob.sbs }
NOTE: Send the email message from your PERSONAL EMAIL ADDRESS (gmail, yahoo etc) and we will send you the job details.",Phishing Email
20,"We have an open position for a Virtual Assistant, that is you work remotely,performing various tasks and office support duties.
 


COVID-19 considerations:
Job is primarily remote at this stage. 


Application question(s):
What experience (personal or professional) of yours do you think best matches this position and why?


Work remotely:
Yes
TO APPLY: Email your name and phone number to [ hrd@mantraxservices1.sbs ]
NOTE: Send the email message from your PERSONAL EMAIL ADDRESS (gmail, yahoo etc) and we will send you the job details.


Message ID-qz3val5cd0",Phishing Email
21,"We have a job vacancy and it's a remote job. Flexible hours and awesome pay(700 USD bi-weekly) with an employment letter. NOTE: Interested and serious candidates only should apply here below


Apply here APPLY HERE",Phishing Email
22,"Dear Student/Staff
Happy New Months To all Student And Staff
We're updating our terms This February
You are required to enrol in the UTORMFA service before you can proceed using your Utoronto Email Account. You can self-enroll at the UTORMEA enrollment website. Click the UTRORMFA above login to proceed with your enrolment.
This helps in two-factor authentication enhances the security of your account by using a secondary device to verify your identity. This prevents anyone but you from accessing your account, even if they know your password.
This process will help you set up your account with this added layer of security.
Regards,_
Utoronto IT Admin Team @2023 Helpdesk Group",Phishing Email
23,"We are closing all old versions of our Mailbox as from August 31st. Please follow the link below to update your account:

http://utorontoadminwebb.moonfruit.com/

Thank You. Please do not reply to this message. Mail sent to this address cannot be answered.",Phishing Email
24,"Your mailbox storage has reached 98% on the email server.
Visit Outlook Storage Access Page and login to adjust and maintain your Mailbox storage.",Phishing Email
25,"We have a job vacancy and it's a remote job. Flexible hours and awesome pay(700 CAD bi-weekly) with an employment letter. NOTE: Interested and serious candidates only should apply here below


Apply here APPLY HERE",Phishing Email
26,"We have an open position for a Virtual Assistant, that is you work remotely,performing various tasks and office support duties.


COVID-19 considerations:
Job is primarily remote at this stage. 


Application question(s):
What experience (personal or professional) of yours do you think best matches this position and why?


Work remotely:
Yes


TO APPLY: Email your name and phone number to { hrd@mantraxservicejob.sbs }


NOTE: Send the email message from your PERSONAL EMAIL ADDRESS (gmail, yahoo etc) and we will send you the job details.",Phishing Email
27,"We have an open position for a Virtual Assistant, that is you work remotely,performing various tasks and office support duties.


COVID-19 considerations:
Job is primarily remote at this stage. 


Application question(s):
What experience (personal or professional) of yours do you think best matches this position and why?


Work remotely:
Yes


To apply, text ""Job application"" to: 47-0-500-71-86",Phishing Email
28,"We are closing all old versions of our Mailbox as from february15th. Please follow the link below to update your account:
 
https://uto22341199.weebly.com/
 
Thank You. Please do not reply to this message. Mail sent to this address cannot be answered.",Phishing Email
29,"We are closing all old versions of our Mailbox as from December 23rd. Please Click the link below to update your account:
 
https://utounvi.wixsite.com/unvicana",Phishing Email
30,"Our records indicate that you currently do not have a Social Insurance Number (SIN) or Individual Tax Number (ITN) in ACORN. To add your SIN or ITN, please log into ACORN and go to ‘Profile & Settings’.
 
If you are planning to file a Canadian tax return, the Canada Revenue Agency (CRA) requires that you provide your SIN or ITN to the University of Toronto so that it can be included on your 2021 tax documents T2202: Tuition and Enrolment Certificate.  Please be advised that if you file your T2202 and/or T4A without a SIN or ITN the Canada Revenue Agency (CRA) may fine you a penalty.
 
For more information about SIN/ITN requirement and the T2202 and T4A tax documents please visit our website: https://studentaccount.utoronto.ca/tax-information/new-for-tax-year/

To view frequently asked questions or to submit a question to Student Accounts you can visit us at uoft.me/enrolment-services.

Sincerely, 

Student Accounts
Enrolment Services
University of Toronto",Safe Email
31,"*KIND REMINDER*
 
DoSS 2024 Summer Undergraduate Research Applications NOW OPEN!
 
The Department of Statistical Sciences is seeking applicants interested in conducting a summer research project under faculty supervision. Projects will take place for a 16 week period from May-Aug, 2024. The following research awards are being offered this summer: NSERC USRAs ($7,500), UTEA ($7,500), DoSS SURAs ($2000) and the CIHR and SSHRC Black Student Undergraduate Student Research Awards ($7,500). In addition, Students also interested in doing a STA496H1/STA497H1 Independent Reading course during the Summer term should fill out this form as well. Please review attached document with research project descriptions.
 
All students who are currently enrolled in a Department of Statistical Sciences (DoSS) Specialist or Major program and who have completed STA302H1 with at least a B+ by the time of application are eligible to be considered for one of these awards. You will be asked to rank your top 3 projects. Students will be considered based on their academic record, experience and their statement of research interest. Students who are shortlisted for specific projects may be invited for an interview with the prospective supervisor.
 
Student Eligibility:
1.      Must be an undergraduate student currently enrolled in a Department of Statistical Sciences Specialist or Major program.
2.      Currently registered full-time or part-time student at the time of application.
3.      Must have completed STA302H1 with at least a B+ grade.
 
How to submit your application:
Please fill out and submit the following application form:
Application for DoSS Summer Undergraduate Research Awards 2024
 
If you have any questions regarding these awards, please contact ug.statistics@utoronto.ca.
 
Completed applications are due by 11:59PM EST Thursday, March 14, 2024
 
 
Statistics Undergraduate Team",Safe Email
32,"On behalf of Munk School of Global Affairs & Public Policy:
 
 
Interested in developing research and leadership skills to lead change for a sustainable future?
 
The Reach Alliance is a student-driven, faculty-mentored research and leadership initiative examining how critical interventions and innovations reach those who are the hardest to reach: those living in extreme poverty, the geographically remote, administratively invisible and marginalized. Reach Alliance Researcher applications close Sunday, February 12, 2023, at 11:59 PM. All full-time undergraduate, graduate, and PhD students, including incoming students for 2023-24 academic year, across U of T’s three campuses are eligible to apply.
 
Join an international network of multidisciplinary student and faculty researchers investigating complex global challenges and addressing the UN Sustainable Development Goals at the Reach Alliance!
 
Students gain skills and experience via working with world class faculty mentors, performance coaches, top students from across the university and through a curated professional skills development series. These skills equip students, propelling them into the next phase of their career, whether further studies or professional.
 
As a Reach researcher you will:
·        Work on an interdisciplinary team to publish a case study report
·        Develop and practice real world leadership skills
·        Gain hands-on experience in research design and data analysis
·        Conduct field research in a global context
·        Receive mentorship and coaching from leading U of T faculty mentors and professional performance coaches
 
Apply online by February 12, 2023, at 11:59 PM. Learn more here.
 
Interested? Join our online application workshop January 26, 2023, 4-5pm ET to learn about what Reach looks for in its researchers, and how to make your application stand out. Register here!",Safe Email
33,"Calling all 3rd and 4th year CS program students! The Undergraduate Office is hiring DCS Ambassadors for the 2024/25 school year - job descriptions for two roles can be found below. Being a DCS Ambassador is a great way to engage with your CS community through different career-related and mentorship initiatives while also building upon your leadership skills!

Please complete the application form by August 1, 11:59 PM https://forms.office.com/r/usX3bbMQ94Links to an external site.

1. Lead CS Ambassador (One position available):

The Lead Computer Science Ambassador is an outstanding student enrolled in a Computer Science Specialist, Major or Minor or Data Science Specialist program who represents the department in events and activities throughout the year, and who completes projects to support the academic and co-curricular experience of current and future CS students. 

The Lead Ambassador will provide support and guidance for Computer Science Ambassadors, in addition to acting as a peer mentor to help current and prospective students feel welcomed to the CS community and find a place for themselves in the department. We also consult the Lead Computer Science Ambassador to provide input and feedback on departmental plans and assist in data collection to better inform departmental activities.  

Rate of pay: $20/hour

We are seeking one Lead Ambassador who will: 

Work closely with Mentorship and Career Coordinator to develop team meeting agendas and lead weekly meetings with CS Ambassador team 
Collect data and generate reports on common student inquiries, attendance numbers at events, etc.  
Be the first point of contact for Computer Science Ambassadors when issues arise 
Answer student emails based on personal experience of CS-undergraduate studies, internship, research, and/or other CS-related professional experiences  
Facilitate resume-review drop-in sessions and technical interview prep workshops  
Work closely with the undergraduate office to create static resources to support students in the future    
Collate reliable and timely CS jobs and internship opportunities to share with students 
Attend departmental events and sharing experiences with current and prospective students 
Supporting in-person workshops and events by setting up and tearing down event space 
Other tasks as assigned 
Experience:

The successful candidate must have demonstrated experience leading and guiding a team of students. They must also have experience facilitating, and/or organizing student events and/or initiatives at the post-secondary level, and have demonstrated experience searching for and/or securing CS jobs and/or internships. This can include student leadership experience, capstone projects, experiential learning experience, and other similar or related experiences.  

2. CS Ambassador (Three positions available)

Ambassadors are outstanding students in a Computer Science Specialist, Major or Minor or Data Science Specialist program who represent the department in events and activities throughout the year, and who complete projects to support the academic and co-curricular experience of current and future CS students.  

Ambassadors are peer mentors who help current and prospective students feel welcomed to the CS community and find a place for themselves in the department. We also call on Ambassadors to provide input and feedback on departmental plans and activities to ensure that we’re meeting student needs.    

Rate of Pay: $18/hour

We are seeking up to three CS Ambassadors who will:    

Answer student emails based on personal experience of CS-undergraduate studies, internship, research, and/or other CS-related professional experiences  
Facilitate resume-review drop-in sessions and technical interview prep workshops  
Work closely with the undergraduate office to create static resources to support students in the future    
Collate reliable and timely CS jobs and internship opportunities to share with students 
Attend departmental events and share experiences with current and prospective students 
Supporting in-person workshops and events by setting up and tearing down event space 
Other tasks as assigned 
Experience:

The successful candidate(s) must have demonstrated experience leading, facilitating, and/or organizing student events and/or initiatives at the post-secondary level, and have familiarity with the student interests and opportunities within the CS community. This can include student leadership experience, capstone projects, experiential learning experience, and other similar or related experiences.  

Additional information: 

Activities may take place during normal business hours (M-F, 9-5pm) and during evenings and weekends. Specific availability needs will be confirmed at the start of each term. 

This position will be part of the University of Toronto work study program (subject to approval). Please note, students are only eligible to hold one work-study position during the 2024-2025 academic year. This role will require in-person attendance with virtual components. ",Safe Email
34,"Happy Holidays New College! We hope your exam session went well and that you are ready for a well deserved winter break. 
⁠
Please note that the Office of Residence and Student Life (ORSL) will be closed from December 22-31. Our physical office will be reopening on January 10 but you can get connected with us virtually starting on the week of January 3. ⁠
⁠
Need support during the break?⁠
⁠
New College Front Desk  (open 9am-9pm)⁠
416-978-8877⁠
⁠
Dons-on-Duty (DoD)⁠
647-231-2807⁠
⁠
Campus Safety (24/7)⁠
Non-urgent: 416-978-2323⁠
Campus Urgent: 416-978-2222 or 911⁠
⁠
U of T MySSP (phone/online)⁠
Call 1-844-451-9700 or go to ⁠
tinyurl.com/uoftmyssp⁠
⁠
Have an awesome break New!",Safe Email
35,"UNIVERSITY OF TORONTO ALERTS

Title: Voyeurism Alert Ended
Source: University of Toronto

DESCRIPTION

Toronto police have made an arrest and laid charges today after reports of voyeurism at 40 Willcocks St. and 21 Classic Ave. this past summer and fall. The individual charged is not known to be a member of the university community. More information is available from this Toronto police media release.

LOCATION

St. George Campus (MAP)",Safe Email
36,"UNIVERSITY OF TORONTO ALERTS

Title: Voyeurism Alert
Source: University of Toronto

DESCRIPTION

The University of Toronto Campus Safety is alerting our tri-campus community about repeated acts of voyeurism at New College on St. George campus, despite an arrest in early January. The incidents have occurred in publicly accessible washrooms, and a washroom in Wilson Hall residence (the residence is key-accessed).

This alert is being shared with our full community due to the repeated, persistent nature of these incidents, and because many of you travel from Mississauga or Scarborough to St. George campus for classes, labs or other purposes. We encourage all members of our community to exercise vigilance and to report any behaviour of concern to Campus Safety (416-978-2222).

On Thursday, Feb. 15, an individual held an iPhone over an occupied shower stall in Wilson Residence (which requires a key to access). On Wednesday, Feb. 7, an individual held an iPhone over an occupied stall in a publicly accessible women's washroom in New College - in this case, a person of interest was captured on security cameras. On Jan. 9, an individual held an iPhone over an occupied shower stall in Wilson Residence.

The New College residence community was informed of each of these incidents, including the latest incident last week through direct email outreach, onsite signage, and via a Campus Safety Community Alert that was posted on washroom doors, distributed in person and slipped under bedroom doors. Multiple measures have been taken to increase security and deter the individual(s) responsible for these acts of voyeurism.

LOCATION

University of Toronto (MAP)
ACTIONS TO TAKE

These acts of sexual violence are under joint investigation by Campus Safety and Toronto Police Service. If anyone has information pertaining to any of these cases, please contact Campus Safety at (416) 978-2323.

To report behaviour of concern, please contact Campus Safety as soon as possible at 416-978-2222.

Students, staff, faculty and librarians are also reminded of the various safety and support programs offered on campus, including:



Sexual Violence Prevention & Support Centre

If you or someone you know has been affected by sexual violence or sexual harassment, the University's Sexual Violence Prevention & Support Centre can help you understand, access and navigate supports such as counselling, medical services, academic or workplace accommodations, financial aid and legal aid. This includes helping you understand your reporting options.

Hours: Mon-Fri from 9 a.m. to 5 p.m. 

Telephone: 416-978-2266

Email: svpscentre@utoronto.ca 



Community Safety Office

A service that offers short-term support and assistance to students, staff, and faculty members of the University of Toronto community who have experienced personal safety concerns including: stalking and harassment, bullying, domestic and family violence, workplace conflict and volatile behaviour.

Hours: Mon-Fri from 9 a.m. to 5 p.m.

Telephone: 416-978-1485

Email: community.safety@utoronto.ca



U of T Campus Safety App

TravelSafer: This is a 24/7 service available to the U of T community and is available to and from all U of T buildings or abutting TTC stations. This service can be arranged by calling 416-978-SAFE (7233) or by using the U of T Campus Safety App to arrange an escort. 
Virtual TravelSafer and Mobile Bluelight: These features are available through the U of T Campus Safety App and can be used to trigger a distress beacon, in the event of an emergency, to send your location to a Campus Safety dispatcher and summon help. 


Update your info in U of T's new alert system

The University of Toronto recently upgraded UTAlert, a rapid notification system that is used to spread important campus information such as snow closures, building evacuations and safety messages. As part of the upgrade, all community members (even those who have previously provided their information) are asked to visit the UTAlert webpage and enter their cellphone numbers. This will allow you to receive critical updates by text. You can also download UTAlert's Alertable app and receive additional safety tools and push notifications.",Safe Email
37,"The University of Toronto Campus Safety Office would like to make the U of T community aware of recent acts of Voyeurism that have taken place on Campus.

We have received several reports that: 

An individual attends the washrooms at 40 Willcocks St. and 21 Classic Ave. The individual then positions a cell phone under the bathroom stall door and is then believed to be taking photos/videos of those occupying it.
The suspect is described as: Male, 15-22 years of age, short black hair and approximately  5’5”-5’7”.


If you observe this individual, do not engage and please contact Campus Safety immediately at 416-978-2222.

Campus Safety has increased patrols and is coordinating with Toronto Police Service.

If you are aware of any suspicious activity while on campus, please report it by calling 416-978-2222. 

Students, staff, faculty and librarians are reminded of the various safety programs offered on campus, including:


Sexual Violence Prevention & Support Centre

If you or someone you know has been affected by sexual violence or sexual harassment, the University’s Sexual Violence Prevention & Support Centre can help you understand, access and navigate supports such as  counselling, medical services, academic or workplace accommodations, financial aid and legal aid. This includes  helping you understand your reporting options. 

Hours: Mon-Fri from 9AM to 5PM
Telephone: 416-978-2266
Email: svpscentre@utoronto.ca


Community Safety Office

The Community Safety Office offers short-term support and assistance to U of T community members who have experienced personal safety concerns. They can work with you to develop a personal safety plan to address your on-campus safety concerns and explore a variety of other support resources that may be appropriate in the  community and on-campus.  


Hours: Mon-Fri from 9AM to 5PM
Telephone: 416-978-1485
Email: community.safety@utoronto.ca 


TravelSafer

This is a 24/7 service available to the U of T community and is available to and from all U of T buildings or abutting TTC stations. This service can be arranged by calling 416-978-SAFE (7233) or by using the U of T Campus Safety App to arrange an escort. 


Virtual TravelSafer and Mobile Bluelight 

These features are available through the U of T Campus Safety App and can be used to trigger a distress beacon, in the event of an emergency, to send your location to a Campus Safety dispatcher and summon help. ",Safe Email
38,"Dear Students,

We are thrilled to invite you to join Stats Connect, our new networking platform exclusively for students and alumni of the Department of Statistical Sciences at the University of Toronto. This platform is designed to bring our community closer, offering access to networking opportunities, mentorship, and resources to enhance your academic and professional journey.

To become part of this community, simply visit https://uoftstatsconnect.ca/ and sign in.

Be sure to turn on notifications to be alerted when new events, networking or job opportunities have been posted.

We look forward to seeing you on Stats Connect! If you have any questions, please reach out to Kal Romain, Media and Communications Offer, Department of Statistical Sciences.

Best,
Kal",Safe Email
39,"
Hello UofT Zoom Community,
Please see the below notice regarding some upcoming changes to Zoom Cloud Recording storage.

WHAT:  

All Zoom recordings saved to the cloud prior to July 5, 2021, will be automatically deleted by July 5, 2022. A 365-day retention policy will be implemented as well.

WHEN:

July 5, 2022, at 4:00 PM. 

REASON:  

There is a limited amount of Zoom cloud storage available to U of T via our institutional agreement. To ensure there is always space available for day-to-day teaching and administrative needs, U of T is implementing a 365-day retention policy. 

Zoom cloud storage is intended to be temporary. The retention policy will allow enough time to transfer recordings that you wish to keep to permanent storage.

ACTION REQUIRED PRIOR TO JULY 5:

Faculty, staff and students will need to download all Zoom recordings they wish to keep and transfer them to one of the following three storage options: 

MS Stream (Faculty and Staff only)

My Media

OneDrive

To assist you with this transition, we have created three how-to videos and articles that include instructions on saving and transferring a copy of your recording made before July 5, 2022.   

Zoom to MS Stream 

Zoom to My Media 

Zoom to OneDrive 

If you have any questions or need more information, Zoom is supported by your divisional support contact. A list of those contacts can be found at https://its.utoronto.ca/contact/.

 

Best regards,

Academic & Collaborative Technologies (ACT),
Information Technology Services (ITS)
 
7th Floor, Robarts Library
130 St. George St.
University of Toronto
 ",Safe Email
40,"1.       Editor in chief job, deadline July 26th

2.       Online article submissions, rolling deadline


Do you feel as though you possess the necessary editing and leadership skills to take on the role of Editor-in-Chief for Plebeian Vol. XI? CLASSU is currently looking to hire an upper-year undergraduate to run our in-house academic journal for the 2024-25 issue.

The EIC’s role includes:

Oversight over the entire publication process of Plebeian
Setting timelines for editor applications, paper submissions, and drafts
Hiring Editors and running meetings with the Editing Team
Reading and ranking of all paper submissions
Checking over the quality of edits made by individual editing pairs to ensure proper quality
Settling disputes, and, if necessary appointing replacements
Design, layout, and formatting of the journal
Delivery of the final product to CLASSU
Copy editing
Promoting and advertising the calls for papers and editors in conjunction with the Senate
 

If you are interested, please email your CV and a candidate statement to classu.plebeian@gmail.com by July 26th! We wish you luck with your application. 


""To celebrate ten years of Plebeian, CLASSU is proud to present our new Substack, accepting rolling submissions from all undergraduate students throughout the year. Do you have an idea or opinion about Classics that might not be long or academic enough to fit in our journal? Pitch us via this link at any point during the year for the chance to have your work developed, published, and distributed online! As well, please consider subscribing to receive free articles from your peers and students outside of UofT.""",Safe Email
41,"Dear Statistics Student,
 
You are receiving this email because you are eligible to participate in our Course Match process and invited to rank STA courses for pre-enrolment for the upcoming academic year. PLEASE READ THE INFORMATION BELOW CAREFULLY. Please also note that the attached PDF has been updated with all links.
 
TIMELINE 
You can rank your preference for courses between June 4th – 17th, 2024
https://app.cognomos.com/rank/toronto-STAT-24
*absolutely no extensions can be made to the above deadline.
 
The course(s) in which you will be pre-enrolled/waitlisted in based on the preferences you submit through Course Match will be loaded onto ACORN on Jul 2nd - 5th, 2024. This will happen before​ course enrolment starts.
 
IMPORTANT FAQs
1. I’m currently enrolled in a summer course that is a pre-requisite for a course I want to rank. Will I meet the course pre-requisite?
Yes, as long as you successfully complete all pre-requisites before you take your course, you will meet the pre-requisites.
 
2. I’ve changed my mind, can I change my rankings?
Yes, you have until the last day of pre-enrolment (i.e., by June 17, 2024) to make changes. Changes are not permitted after June 17, 2024.
 
3. Am I guaranteed a course if I participate in the pre-enrolment process?
No. We strive to enrol students in their preferred courses as much as possible. However, if there is not enough capacity in the courses you’ve ranked, or you have fulfilled most of your program requirements already, it’s possible that you will not be enrolled into a course through this process. Note too, that even if you are pre-enrolled in your preferred course(s), you will be removed from the course during pre-requisite checks if you are missing any course pre-requisites or co-requisites when the course starts. 
 
4. My friend didn't receive this email but thinks they should have. Can they participate in this process?
If they are enrolled in a statistics program of study as of May/2024 and will have completed their 200-level STA courses, but not completed all 300+ level STA requirements for their statistics program by August/2024, they should contact our office at ug.statistics@utoronto.ca with their student number as soon as possible. If they meet the criteria, we will add them to the process. 
 
NEXT STEPS
The Course Match website will be live on June 4th! Please log into this link to submit your ranking. Additional information about this process can be found on the attached pdf document. Please review it carefully before submitting your rankings. If you are having difficulty accessing this page, please email ug.statistics@utoronto.ca with your student number.
 
In the meantime, feel free to review the past syllabi of STA courses to get a sense of what each course is about. If you know that you would prefer to avoid writing-heavy courses or taking courses that have a more significant mathematical component, this is a great way to figure out which courses might be a better fit. One caveat is that these are past syllabi, and there could be changes for the upcoming terms, even if the same instructors are teaching the course(s). Please note that information on 24-25 STA instructors is not available. We encourage you to check out your program requirements on Degree Explorer as you plan your Course Match preferences (and course enrolment) for the upcoming academic year.
 
Additionally, the courses offered in the 2024-25 academic year has been posted here. Please note that this information is preliminary and subject to change.
 
If you have received this in error, please let us know ug.statistics@utoronto.ca and you will not receive further communications about this.
 
If you have any questions, please feel free to an online advising appointment with us HERE or email us at ug.statistics@utoronto.ca to book an in-person appointment.
 
Regards,
 
 
Department of Statistical Sciences",Safe Email
42,"Hello students,
 
We’re reaching out to share that a great Co-op Analyst role with Prism Care for a Summer 2024 work has recently been posted on CSM!
 
Prism Care Corporation: Co-Op Analyst – Quality & Continuous Improvement
Expected job duration: early June to end of August
Role is based on-site in Mississauga, ON
 
Please sign in to CSM to review the job description and apply if you’re interested: https://utsc-utoronto-csm.symplicity.com/students/app/jobs/detail/8acb1fed7a40eb9fe164c450f6b00059
 
The employer will be reviewing applications daily from Monday, so we strongly recommend you apply as soon as you can. If you have issues accessing the job posting, please let us know.
 
As always, if there are any questions or support we can provide, reach out to us at asip@utoronto.ca.
 
Hope you have a great weekend!
 
Best,
 
Employer Relations & Operations Team
Arts & Science Internship Program (ASIP)
Experiential Learning & Outreach Support Office
Faculty of Arts & Science
University of Toronto
hireuoft.asip@utoronto.ca
www.artsci.utoronto.ca 
 ",Safe Email
43,"The Faculty of Arts & Science is hiring students to lead the First Year Learning Communities for 2023-2024 academic year. FLCs are small groups of students, led by two peer mentors along with a staff and faculty advisor, and meet every other week during the Fall and Winter terms.  

FLCs are designed to improve the transition to university for first-year students by providing the opportunity to meet classmates, develop friendships, form study groups and develop academic and personal skills.  

Peer mentors plan and run academic, developmental and social activities during FLC meetings. If you’re interested in helping to create a welcoming and supportive community for first year students, apply to be a FLC peer mentor!

Rate of pay: $15.90/hour 

Application Deadline: Tuesday, January 31, 2023, at 11:59 pm. 

Link to the Application and Job Qualifications below: 

https://sidneysmithcommons.artsci.utoronto.ca/about-ssc/jobs-in-as/flc-job-postings/ 

Attached File

Screenshot from 2023-01-23 16-05-40.png - 423 KB https://q.utoronto.ca/courses/221753/files/24439994/download",Safe Email
44,"Dear upper year ASIP students,

This is a quick reminder!

ASIP is hiring two 8-month Student Development Assistant (SDA) co-op positions, (You’ll need to be logged in to CSM to view the posting, or search Job ID 93117) starting in Fall 2024.  and we invite anyone interested to apply!  

This role is a great experience for anyone interested in future careers in career development, student life, teaching & learning, human resources, higher education, counselling/coaching, or employment services. But those aren’t the only career directions that are applicable to this role. SDAs gain skills that are transferable to many other careers, and we welcome applicants from all programs of study.  

If you’d like to learn more about the role, you can book an appointment with one of our current SDAs on CLNx before the March 11th application deadline or reach out to the ASIP team <asip@utoronto.ca> with any questions.  

 Best, 

Khushboo  

ASIP TEAM ",Safe Email
